place_id,value,time,type,id,device_id
5,1.0,2016-06-16T11:23:06,closed,70302,1210111
5,1.0,2016-06-16T11:23:07,closed,70303,1210111
5,1.0,2016-06-16T11:23:15,movement,70304,1210143
5,1.0,2016-06-16T11:23:43,movement,70305,1210143
3,0.0,2016-06-16T11:23:36,closed,70306,1210108
3,1.0,2016-06-16T11:23:41,closed,70307,1210108
3,1.0,2016-06-16T11:23:51,movement,70308,1213099
3,1.0,2016-06-16T11:23:52,movement,70309,1213099
5,1.0,2016-06-16T11:23:49,movement,70310,1210143
5,1.0,2016-06-16T11:23:50,movement,70311,1210143
5,0.0,2016-06-16T11:24:03,closed,70312,1210111
5,1.0,2016-06-16T11:24:07,closed,70313,1210111
2,1.0,2016-06-16T11:25:59,movement,70314,1210115
2,1.0,2016-06-16T11:26,movement,70315,1210115
2,1.0,2016-06-16T11:26:04,movement,70316,1210115
2,1.0,2016-06-16T11:26:05,movement,70317,1210115
2,1.0,2016-06-16T11:26:09,movement,70318,1210115
2,0.0,2016-06-16T11:25:54,closed,70319,1210110
2,0.0,2016-06-16T11:25:55,closed,70320,1210110
2,1.0,2016-06-16T11:25:57,closed,70321,1210110
2,1.0,2016-06-16T11:25:57,closed,70322,1210110
2,1.0,2016-06-16T11:26:12,movement,70323,1210115
2,1.0,2016-06-16T11:26:33,movement,70324,1210115
2,1.0,2016-06-16T11:26:34,movement,70325,1210115
2,1.0,2016-06-16T11:26:38,movement,70326,1210115
2,1.0,2016-06-16T11:26:39,movement,70327,1210115
2,1.0,2016-06-16T11:26:42,movement,70328,1210115
2,1.0,2016-06-16T11:26:43,movement,70329,1210115
2,1.0,2016-06-16T11:26:48,movement,70333,1210115
2,1.0,2016-06-16T11:26:49,movement,70334,1210115
2,1.0,2016-06-16T11:26:53,movement,70335,1210115
2,1.0,2016-06-16T11:26:55,movement,70336,1210115
2,1.0,2016-06-16T11:26:55,movement,70337,1210115
2,1.0,2016-06-16T11:26:59,movement,70338,1210115
2,1.0,2016-06-16T11:27,movement,70339,1210115
2,0.0,2016-06-16T11:27:25,closed,70340,1210110
2,0.0,2016-06-16T11:27:26,closed,70341,1210110
2,1.0,2016-06-16T11:27:28,closed,70342,1210110
2,1.0,2016-06-16T11:27:28,closed,70343,1210110
5,0.0,2016-06-16T11:28:21,movement,70344,1210143
5,0.0,2016-06-16T11:28:22,movement,70345,1210143
3,0.0,2016-06-16T11:28:23,movement,70346,1213099
3,0.0,2016-06-16T11:28:24,movement,70347,1213099
3,1.0,2016-06-16T11:29:17,movement,70348,1213099
3,1.0,2016-06-16T11:29:22,movement,70349,1213099
3,1.0,2016-06-16T11:29:23,movement,70350,1213099
3,1.0,2016-06-16T11:29:27,movement,70351,1213099
3,1.0,2016-06-16T11:29:28,movement,70352,1213099
3,1.0,2016-06-16T11:29:31,movement,70353,1213099
3,1.0,2016-06-16T11:29:32,movement,70354,1213099
3,1.0,2016-06-16T11:30:14,movement,70355,1213099
3,1.0,2016-06-16T11:30:14,movement,70356,1213099
3,1.0,2016-06-16T11:30:29,movement,70357,1213099
3,1.0,2016-06-16T11:30:30,movement,70358,1213099
